👉公        告,#genre#
生活时尚8M,https://live.goodiptv.club/api/bestv.php?id=shss8m/8000000
新视�?8M,https://live.goodiptv.club/api/bestv.php?id=xsjhd8m/8000000
星光影院8M,https://live.goodiptv.club/api/bestv.php?id=xgyy8m/8000000
陶瓷高清8M,https://live.goodiptv.club/api/bestv.php?id=taocihd/8000000
全球大片8M,https://live.goodiptv.club/api/bestv.php?id=qqdp8m/8000000
热门剧场8M,https://live.goodiptv.club/api/bestv.php?id=rmjc8m/8000000
中国教育-18M,https://live.goodiptv.club/api/bestv.php?id=zgjy1t8m/8000000
中国教育-48M,https://live.goodiptv.club/api/bestv.php?id=zgjy4hd8m/8000000
足球高清8M,https://live.goodiptv.club/api/bestv.php?id=zqpd8m/8000000
卡酷少儿8M,https://live.goodiptv.club/api/bestv.php?id=kkse8m/8000000
纪实科教8M,https://live.goodiptv.club/api/bestv.php?id=dajs8m/8000000
茶频�?8M,https://live.goodiptv.club/api/bestv.php?id=cpdhdavs8m/8000000
炫动卡�?8M,https://live.goodiptv.club/api/bestv.php?id=hhxd8m/8000000
湖北卫视8M,https://live.goodiptv.club/api/bestv.php?id=hubeiws8m/8000000
东方财经8M,https://live.goodiptv.club/api/bestv.php?id=dfcjhd8m/8000000
都市剧场8M,https://live.goodiptv.club/api/bestv.php?id=dsjc8m/8000000
法治天地8M,https://live.goodiptv.club/api/bestv.php?id=fztd8m/8000000
动漫秀�?8M,https://live.goodiptv.club/api/bestv.php?id=dmxc8m/8000000
金色学堂8M,https://live.goodiptv.club/api/bestv.php?id=jingsepd8m/8000000
重庆卫视8M,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000
魅力足球8M,https://live.goodiptv.club/api/bestv.php?id=mlyyhd8m/8000000
云南卫视8M,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
东南卫视8M,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
海南卫视8M,https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000
贵州卫视8M,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000
上海教育8M,https://live.goodiptv.club/api/bestv.php?id=setvhd/8000000
游戏风云8M,https://live.goodiptv.club/api/bestv.php?id=yxfy8m/8000000
超级体育8M,https://live.goodiptv.club/api/bestv.php?id=qcsj8m/8000000
百变课堂8M,https://live.goodiptv.club/api/bestv.php?id=bbkt8m/8000000
健康养生8M,https://live.goodiptv.club/api/bestv.php?id=jkys8m/8000000
电竞天堂8M,https://live.goodiptv.club/api/bestv.php?id=djtt8m/8000000
深圳卫视8M,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
看天下精�?8M,https://live.goodiptv.club/api/bestv.php?id=ktxjx8m/8000000
华语影院8M,https://live.goodiptv.club/api/bestv.php?id=hyyy8m/8000000
宝宝动画8M,https://live.goodiptv.club/api/bestv.php?id=bbdh8m/8000000
青春动漫8M,https://live.goodiptv.club/api/bestv.php?id=qcdm8m/8000000
谍战剧场8M,https://live.goodiptv.club/api/bestv.php?id=dzjc8m/8000000
甘肃卫视8M,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000
CCTV16-4K,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV18M,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
欢笑剧场4k,https://live.goodiptv.club/api/bestv.php?id=hxjc4k/15000000
CCTV48M,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV28M,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV58M,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+8M,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV68M,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV88M,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV78M,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV98M,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV118M,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV108M,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV138M,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV158M,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV148M,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV128M,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV168M,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV178M,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
CCTV38M,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
热门综艺8M,https://live.goodiptv.club/api/bestv.php?id=rmzy8m/8000000
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江影视娱乐,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
万州影视,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
浙江影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
南京影视,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
兴隆影视,https://jwcdnqx.hebyun.com.cn/live/xlys/1500k/tzwj_video.m3u8
新泰影视,http://111.17.214.4:1935/live/xtys/playlist.m3u8
新泰影视,http://live.xtgdw.cn:1935/live/xtys/playlist.m3u8
河北影视,https://jwplay.hebyun.com.cn:443/live/hbystv/1500k/tzwj_video.m3u8
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
长沙影视,https://hls.quklive.com/live/1551749282880742/index.m3u8
北京影视,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv4_1/index.m3u8?adapt=0&BR=audio
石河子影视文�?,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8?_upt=f6b685651648171016
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
浙江影视,https://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
万州影视文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
溧水影视,https://live.lsrmw.cn/ysyl/sd/live.m3u8
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
兴隆影视,https://jwcdnqx.hebyun.com.cn/live/xlys/1500k/tzwj_video.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
万州影视文艺,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
浙江影视�?,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
北京影视,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv4_1/index.m3u8?adapt=0&BR=audio
新泰影视频道,http://111.17.214.4:1935/live/xtys/playlist.m3u8
新泰影视频道,http://live.xtgdw.cn:1935/live/xtys/playlist.m3u8
溧水影视,https://live.lsrmw.cn/ysyl/sd/live.m3u8
石河子影视文�?,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
河北影视,https://jwplay.hebyun.com.cn:443/live/hbystv/1500k/tzwj_video.m3u8
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
长沙影视频道,https://hls.quklive.com/live/1551749282880742/index.m3u8
隆化影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
溧水影视,https://live.lsrmw.cn/ysyl/sd/live.m3u8
石河子影视文�?,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8
南京影视,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
隆化影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/HasBahCa.m3u8
平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
兴隆影视,https://jwcdnqx.hebyun.com.cn/live/xlys/1500k/tzwj_video.m3u8
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
三立都会�?,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
三立台湾�?,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
湖南卫视8M,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
四川卫视8M,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
东方卫视8M,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
广东卫视8M,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
\\江苏卫视8M,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
黑龙江卫�?8M,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000
浙江卫视8M,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
深圳卫视8M,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
湖北卫视8M,https://live.goodiptv.club/api/bestv.php?id=hubeiws8m/8000000
辽宁卫视8M,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
天津卫视8M,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
河南卫视8M,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
吉林卫视8M,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000
安徽卫视8M,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000
山东卫视8M,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
江西卫视8M,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
河北卫视8M,https://live.goodiptv.club/api/bestv.php?id=hbwshd8m/8000000
甘肃卫视8M,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000
上海都市8M,https://live.goodiptv.club/api/bestv.php?id=dshd8m/8000000
东南卫视8M,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
上海纪实8M,https://live.goodiptv.club/api/bestv.php?id=jspdhd/4000000
上视外语8M,https://live.goodiptv.club/api/bestv.php?id=icshd8m/8000000
五星体育8M,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
东方影视8M,https://live.goodiptv.club/api/bestv.php?id=dfyshd8m/8000000
七彩戏剧8M,https://live.goodiptv.club/api/bestv.php?id=qcxjhd8m/8000000
全纪�?8M,https://live.goodiptv.club/api/bestv.php?id=qjshd8m/8000000
上海教育8M,https://live.goodiptv.club/api/bestv.php?id=setvhd/8000000
生活时尚8M,https://live.goodiptv.club/api/bestv.php?id=shss8m/8000000
新视�?8M,https://live.goodiptv.club/api/bestv.php?id=xsjhd8m/8000000
热门综艺8M,https://live.goodiptv.club/api/bestv.php?id=rmzy8m/8000000
健康养生8M,https://live.goodiptv.club/api/bestv.php?id=jkys8m/8000000
看天下精�?8M,https://live.goodiptv.club/api/bestv.php?id=ktxjx8m/8000000
超级体育8M,https://live.goodiptv.club/api/bestv.php?id=qcsj8m/8000000
电竞天堂8M,https://live.goodiptv.club/api/bestv.php?id=djtt8m/8000000
华语影院8M,https://live.goodiptv.club/api/bestv.php?id=hyyy8m/8000000
宝宝动画8M,https://live.goodiptv.club/api/bestv.php?id=bbdh8m/8000000
云南卫视8M,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
北京卫视8M,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
快乐垂钓8M,https://live.goodiptv.club/api/bestv.php?id=klcd8m/8000000
金鹰纪实8M,https://live.goodiptv.club/api/bestv.php?id=jyjs8m/8000000
欢笑剧场8M,https://live.goodiptv.club/api/bestv.php?id=hxjc8m/8000000
海南卫视8M,https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000
百变课堂8M,https://live.goodiptv.club/api/bestv.php?id=bbkt8m/8000000
贵州卫视8M,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000
谍战剧场8M,https://live.goodiptv.club/api/bestv.php?id=dzjc8m/8000000
中国教育-48M,https://live.goodiptv.club/api/bestv.php?id=zgjy4hd8m/8000000
全球大片8M,https://live.goodiptv.club/api/bestv.php?id=qqdp8m/8000000
热门剧场8M,https://live.goodiptv.club/api/bestv.php?id=rmjc8m/8000000
足球高清8M,https://live.goodiptv.club/api/bestv.php?id=zqpd8m/8000000
卡酷少儿8M,https://live.goodiptv.club/api/bestv.php?id=kkse8m/8000000
中国教育-18M,https://live.goodiptv.club/api/bestv.php?id=zgjy1t8m/8000000
炫动卡�?8M,https://live.goodiptv.club/api/bestv.php?id=hhxd8m/8000000
陶瓷高清8M,https://live.goodiptv.club/api/bestv.php?id=taocihd/8000000
纪实科教8M,https://live.goodiptv.club/api/bestv.php?id=dajs8m/8000000
东方财经8M,https://live.goodiptv.club/api/bestv.php?id=dfcjhd8m/8000000
法治天地8M,https://live.goodiptv.club/api/bestv.php?id=fztd8m/8000000
上海第一财经8M,https://live.goodiptv.club/api/bestv.php?id=dycjhd8m/8000000
动漫秀�?8M,https://live.goodiptv.club/api/bestv.php?id=dmxc8m/8000000
金色学堂8M,https://live.goodiptv.club/api/bestv.php?id=jingsepd8m/8000000
魅力足球8M,https://live.goodiptv.club/api/bestv.php?id=mlyyhd8m/8000000
劲爆体育8M,https://live.goodiptv.club/api/bestv.php?id=jbtyhd8m/8000000
茶频�?8M,https://live.goodiptv.club/api/bestv.php?id=cpdhdavs8m/8000000
上视新闻8M,https://live.goodiptv.club/api/bestv.php?id=xwzhhd8m/8000000
广西卫视8M,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
重庆卫视8M,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000
青春动漫8M,https://live.goodiptv.club/api/bestv.php?id=qcdm8m/8000000
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
都市剧场8M,https://live.goodiptv.club/api/bestv.php?id=dsjc8m/8000000
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
欢笑剧场4k,https://live.goodiptv.club/api/bestv.php?id=hxjc4k/15000000
CCTV-4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV18M,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV28M,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
星光影院8M,https://live.goodiptv.club/api/bestv.php?id=xgyy8m/8000000
游戏风云8M,https://live.goodiptv.club/api/bestv.php?id=yxfy8m/8000000
CCTV98M,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV108M,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
CCTV16-4K,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
CCTV178M,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
CCTV168M,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV48M,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV38M,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV88M,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV68M,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV5+8M,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV58M,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV118M,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV128M,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV148M,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV78M,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
戏曲精�?8M,https://live.goodiptv.club/api/bestv.php?id=xqjx8m/8000000
CCTV138M,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
央视频道,#genre#
上海纪实HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221225877/10000100000000060000000000215730_0.smil
熊猫频道HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221226048/10000100000000060000000000291761_0.smil
山东生活HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221225809/10000100000000060000000000215679_0.smil
山东齐鲁HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221225809/10000100000000060000000000215679_0.smil
山东体育HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221225811/10000100000000060000000000215681_0.smil
山东公共HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221225812/10000100000000060000000000215683_0.smil
山东教育HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221225941/10000100000000060000000000218833_0.smil
爱 上  4 K,rtsp://119.164.58.180:241/PLTV/88888888/224/3221226315/10000100000000060000000000533024_0.smil
CCTV-1HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221225871/10000100000000060000000000219040_0.smil
CCTV-2HD,rtsp://119.164.58.180:241/PLTV/88888888/224/3221226043/10000100000000060000000000286778_0.smil
CCTV-3HD,rtsp://119.164.58.180:241/PLTV/88888893/224/3221226816/10000100000000060000000001366243_0.smil
CCTV-4HD,rtsp://60.214.109.203/PLTV/88888888/224/3221226524/10000100000000060000000001329929_0.smil
CCTV-5HD,rtsp://119.164.58.180:241/PLTV/88888893/224/3221227219/10000100000000060000000001366244_0.smil
